method,label,status,solver_status,solver_name,solve_time_s,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,meets_requirements,max_violation,violated_constraints,slack_power_nonnegative,slack_peak_power,slack_total_power,slack_min_rate,slack_min_sensing,water_level_w,solver_inaccurate,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,dinkelbach_enforces_min_rate
uniform,Uniform,ok,closed_form,numpy,2.5770000320335384e-06,,327.2876577921015,4909314.866881523,1.0,3.357142857142857,1462349.109283858,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,32.36762851670335,-29767500000.0,,,,,,,
water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00015367199966931366,,327.6889214171091,4915333.821256637,1.0000000000001734,3.357142857143353,1464141.9893102713,76079196041.90334,2.0070786347661286e+18,2.0070786347661286e+18,2.0067254018385695e+18,4.982365826023171e-19,0.10580556564401121,-12.70806010536408,-9.298790732650705,0.016452416113279963,3.0585857640229015e-06,64,False,30469553958.096664,min_sensing,0.004881347546767558,0.046047583886720034,-1.7341683644644945e-13,32.76889214171092,-30469553958.096664,0.016554853047678536,,,,,,
edge_weighted,Edge-weighted (∝ w_k),ok,closed_form,numpy,3.121800000371877e-05,,275.3248906481222,4129873.3597218334,1.0,3.357142857142857,1230175.0433213972,138161250000.0,3.644892525873283e+18,3.644892525873283e+18,3.644892525873283e+18,2.7435651199630616e-19,0.07851422418531084,-2.549921626385729,1.7017770590097698,0.045432692307692306,0.0001951694139194139,64,False,19.595138627275958,min_rate,1.1446886446886447e-05,0.017067307692307694,0.0,-19.595138627275958,31612500000.0,,,,,,,
sensing_optimal,Sensing-optimal (max S),ok,closed_form,numpy,2.2040999738237588e-05,,107.66465002963176,1614969.7504444763,1.0,3.357142857142857,481054.81928133336,177581250000.0,4.684848833230989e+18,4.684848833230989e+18,4.684848833230989e+18,2.1345405915911532e-19,0.0692536896294432,-0.2904600964737499,5.960647967914347,0.0625,0.000732421875,16,False,187.25537924576642,min_rate,0.0,0.0,0.0,-187.25537924576642,71032500000.0,,,,,,,
min_power_isac,Min-power ISAC,ok,optimal,CLARABEL,0.007722596999883535,,294.9200318581008,4423800.477871512,0.8435689537747215,2.910197010784919,1520103.4368042164,106548750027.72464,2.8109093006700093e+18,2.8109093006700093e+18,2.810483638633479e+18,3.5575676517262213e-19,0.0894061288544516,-5.696404936540683,1.4700144801644015,0.0601865391339648,0.00012557378195663884,64,True,0.0,,2.993949661457992e-10,0.0023134608660351982,0.15643104622527848,2.5827026206570736e-06,27.724639892578125,,False,,,,,
max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.005095060999792622,,320.6432295092711,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,106548749899.77847,2.8109092972946053e+18,2.8109092972946053e+18,2.810554641235176e+18,3.5575676559982295e-19,0.08940612890813204,-7.623948950543655,-2.2593530231226326,0.0386353710342845,5.189018682874757e-05,64,True,100.22152709960938,,1.3371241038237626e-09,0.0238646289657155,1.25087007418756e-09,25.723200233872944,-100.22152709960938,,False,,,,,
dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.0160121649996654,,270.6598118079305,4059897.1771189575,0.7439178173524437,2.625479478149839,1546345.0432223314,106548749949.17184,2.8109092985976735e+18,2.8109092985976735e+18,2.810716225368017e+18,3.557567654349029e-19,0.08940612888740881,-4.221949326360762,3.869852080758644,0.06249999968916492,0.00019352443202196165,64,False,50.828155517578125,min_rate,1.3597854454505928e-11,3.108350798974868e-10,0.25608218264755633,-24.26021746746767,-50.828155517578125,,False,5.0,True,1546345.0432146734,2.0106323063373566e-05,False
dinkelbach_ee_rmin_isac,Dinkelbach EE-ISAC (+R_min),ok,optimal,CLARABEL,0.010911376999501954,,294.9200295438916,4423800.443158374,0.8435689413132974,2.91019697518085,1520103.4434734315,106548749931.94553,2.8109092981432187e+18,2.8109092981432187e+18,2.8104829365717207e+18,3.5575676549242e-19,0.0894061288946362,-5.696359229433878,1.469998376163195,0.060186464473827014,0.00012557325877617732,64,True,68.05447387695312,,4.647305097295888e-11,0.0023135355261729856,0.1564310586867026,2.684934088392765e-07,-68.05447387695312,,False,3.0,True,1520103.4432593838,0.0006229206919670105,True
